"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2019",278
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2020",324
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2021",248
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2022",270
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2023",210
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2024",248
"Mental and behavioural disorders (F00-F98)","Men","All age groups","1998",10242
"Mental and behavioural disorders (F00-F98)","Men","All age groups","1999",10992
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2000",13035
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2001",12764
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2002",12322
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2003",13246
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2004",13451
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2005",12461
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2006",14048
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2007",13792
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2008",15401
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2009",12071
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2010",13540
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2011",12629
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2012",13092
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2013",13612
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2014",11873
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2015",11089
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2016",10731
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2017",11182
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2018",10791
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2019",11253
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2020",9565
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2021",10656
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2022",12709
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2023",12096
"Mental and behavioural disorders (F00-F98)","Men","All age groups","2024",13925
"Mental and behavioural disorders (F00-F98)","Men","0","1998",0
"Mental and behavioural disorders (F00-F98)","Men","0","1999",0
"Mental and behavioural disorders (F00-F98)","Men","0","2000",1
"Mental and behavioural disorders (F00-F98)","Men","0","2001",1
"Mental and behavioural disorders (F00-F98)","Men","0","2002",2
"Mental and behavioural disorders (F00-F98)","Men","0","2003",1
"Mental and behavioural disorders (F00-F98)","Men","0","2004",1
"Mental and behavioural disorders (F00-F98)","Men","0","2005",0
"Mental and behavioural disorders (F00-F98)","Men","0","2006",1
"Mental and behavioural disorders (F00-F98)","Men","0","2007",0
"Mental and behavioural disorders (F00-F98)","Men","0","2008",3
"Mental and behavioural disorders (F00-F98)","Men","0","2009",2
"Mental and behavioural disorders (F00-F98)","Men","0","2010",0
"Mental and behavioural disorders (F00-F98)","Men","0","2011",0
"Mental and behavioural disorders (F00-F98)","Men","0","2012",0
"Mental and behavioural disorders (F00-F98)","Men","0","2013",0
"Mental and behavioural disorders (F00-F98)","Men","0","2014",1
"Mental and behavioural disorders (F00-F98)","Men","0","2015",0
"Mental and behavioural disorders (F00-F98)","Men","0","2016",0
"Mental and behavioural disorders (F00-F98)","Men","0","2017",1
"Mental and behavioural disorders (F00-F98)","Men","0","2018",0
"Mental and behavioural disorders (F00-F98)","Men","0","2019",0
"Mental and behavioural disorders (F00-F98)","Men","0","2020",0
"Mental and behavioural disorders (F00-F98)","Men","0","2021",0
"Mental and behavioural disorders (F00-F98)","Men","0","2022",0
"Mental and behavioural disorders (F00-F98)","Men","0","2023",0
"Mental and behavioural disorders (F00-F98)","Men","0","2024",0
"Mental and behavioural disorders (F00-F98)","Men","1-4","1998",333
"Mental and behavioural disorders (F00-F98)","Men","1-4","1999",316
"Mental and behavioural disorders (F00-F98)","Men","1-4","2000",341
"Mental and behavioural disorders (F00-F98)","Men","1-4","2001",328
"Mental and behavioural disorders (F00-F98)","Men","1-4","2002",379
"Mental and behavioural disorders (F00-F98)","Men","1-4","2003",372
"Mental and behavioural disorders (F00-F98)","Men","1-4","2004",372
"Mental and behavioural disorders (F00-F98)","Men","1-4","2005",409
"Mental and behavioural disorders (F00-F98)","Men","1-4","2006",425
"Mental and behavioural disorders (F00-F98)","Men","1-4","2007",422
"Mental and behavioural disorders (F00-F98)","Men","1-4","2008",452
"Mental and behavioural disorders (F00-F98)","Men","1-4","2009",275
"Mental and behavioural disorders (F00-F98)","Men","1-4","2010",428
"Mental and behavioural disorders (F00-F98)","Men","1-4","2011",382
"Mental and behavioural disorders (F00-F98)","Men","1-4","2012",355
"Mental and behavioural disorders (F00-F98)","Men","1-4","2013",317
"Mental and behavioural disorders (F00-F98)","Men","1-4","2014",258
"Mental and behavioural disorders (F00-F98)","Men","1-4","2015",197
"Mental and behavioural disorders (F00-F98)","Men","1-4","2016",184
"Mental and behavioural disorders (F00-F98)","Men","1-4","2017",175
"Mental and behavioural disorders (F00-F98)","Men","1-4","2018",141
"Mental and behavioural disorders (F00-F98)","Men","1-4","2019",192
"Mental and behavioural disorders (F00-F98)","Men","1-4","2020",117
"Mental and behavioural disorders (F00-F98)","Men","1-4","2021",125
"Mental and behavioural disorders (F00-F98)","Men","1-4","2022",120
"Mental and behavioural disorders (F00-F98)","Men","1-4","2023",130
"Mental and behavioural disorders (F00-F98)","Men","1-4","2024",131
"Mental and behavioural disorders (F00-F98)","Men","5-9","1998",1540
"Mental and behavioural disorders (F00-F98)","Men","5-9","1999",1451
"Mental and behavioural disorders (F00-F98)","Men","5-9","2000",1607
"Mental and behavioural disorders (F00-F98)","Men","5-9","2001",1358
"Mental and behavioural disorders (F00-F98)","Men","5-9","2002",1327
"Mental and behavioural disorders (F00-F98)","Men","5-9","2003",1289
"Mental and behavioural disorders (F00-F98)","Men","5-9","2004",1329
"Mental and behavioural disorders (F00-F98)","Men","5-9","2005",1105
"Mental and behavioural disorders (F00-F98)","Men","5-9","2006",1126
"Mental and behavioural disorders (F00-F98)","Men","5-9","2007",1172
"Mental and behavioural disorders (F00-F98)","Men","5-9","2008",1174
"Mental and behavioural disorders (F00-F98)","Men","5-9","2009",877
"Mental and behavioural disorders (F00-F98)","Men","5-9","2010",1107
"Mental and behavioural disorders (F00-F98)","Men","5-9","2011",1207
"Mental and behavioural disorders (F00-F98)","Men","5-9","2012",1319
"Mental and behavioural disorders (F00-F98)","Men","5-9","2013",1521
"Mental and behavioural disorders (F00-F98)","Men","5-9","2014",1337
"Mental and behavioural disorders (F00-F98)","Men","5-9","2015",1064
"Mental and behavioural disorders (F00-F98)","Men","5-9","2016",1059
"Mental and behavioural disorders (F00-F98)","Men","5-9","2017",1092
"Mental and behavioural disorders (F00-F98)","Men","5-9","2018",903
"Mental and behavioural disorders (F00-F98)","Men","5-9","2019",883
"Mental and behavioural disorders (F00-F98)","Men","5-9","2020",645
"Mental and behavioural disorders (F00-F98)","Men","5-9","2021",631
"Mental and behavioural disorders (F00-F98)","Men","5-9","2022",798
"Mental and behavioural disorders (F00-F98)","Men","5-9","2023",980
"Mental and behavioural disorders (F00-F98)","Men","5-9","2024",1136
"Mental and behavioural disorders (F00-F98)","Men","10-14","1998",1302
"Mental and behavioural disorders (F00-F98)","Men","10-14","1999",1402
"Mental and behavioural disorders (F00-F98)","Men","10-14","2000",1949
"Mental and behavioural disorders (F00-F98)","Men","10-14","2001",1845
"Mental and behavioural disorders (F00-F98)","Men","10-14","2002",1750
"Mental and behavioural disorders (F00-F98)","Men","10-14","2003",1761
"Mental and behavioural disorders (F00-F98)","Men","10-14","2004",1834
"Mental and behavioural disorders (F00-F98)","Men","10-14","2005",1247
"Mental and behavioural disorders (F00-F98)","Men","10-14","2006",1228
"Mental and behavioural disorders (F00-F98)","Men","10-14","2007",1104
"Mental and behavioural disorders (F00-F98)","Men","10-14","2008",1114
"Mental and behavioural disorders (F00-F98)","Men","10-14","2009",868
"Mental and behavioural disorders (F00-F98)","Men","10-14","2010",1089
"Mental and behavioural disorders (F00-F98)","Men","10-14","2011",942
"Mental and behavioural disorders (F00-F98)","Men","10-14","2012",1068
"Mental and behavioural disorders (F00-F98)","Men","10-14","2013",1148
"Mental and behavioural disorders (F00-F98)","Men","10-14","2014",1088
"Mental and behavioural disorders (F00-F98)","Men","10-14","2015",759
"Mental and behavioural disorders (F00-F98)","Men","10-14","2016",684
"Mental and behavioural disorders (F00-F98)","Men","10-14","2017",747
"Mental and behavioural disorders (F00-F98)","Men","10-14","2018",754
"Mental and behavioural disorders (F00-F98)","Men","10-14","2019",766
"Mental and behavioural disorders (F00-F98)","Men","10-14","2020",656
"Mental and behavioural disorders (F00-F98)","Men","10-14","2021",607
"Mental and behavioural disorders (F00-F98)","Men","10-14","2022",756
"Mental and behavioural disorders (F00-F98)","Men","10-14","2023",865
"Mental and behavioural disorders (F00-F98)","Men","10-14","2024",1077
"Mental and behavioural disorders (F00-F98)","Men","15-19","1998",895
"Mental and behavioural disorders (F00-F98)","Men","15-19","1999",1025
"Mental and behavioural disorders (F00-F98)","Men","15-19","2000",1488
"Mental and behavioural disorders (F00-F98)","Men","15-19","2001",1238
"Mental and behavioural disorders (F00-F98)","Men","15-19","2002",1140
"Mental and behavioural disorders (F00-F98)","Men","15-19","2003",1223
"Mental and behavioural disorders (F00-F98)","Men","15-19","2004",1322
"Mental and behavioural disorders (F00-F98)","Men","15-19","2005",990
"Mental and behavioural disorders (F00-F98)","Men","15-19","2006",1098
"Mental and behavioural disorders (F00-F98)","Men","15-19","2007",998
"Mental and behavioural disorders (F00-F98)","Men","15-19","2008",1029
"Mental and behavioural disorders (F00-F98)","Men","15-19","2009",866
"Mental and behavioural disorders (F00-F98)","Men","15-19","2010",758
"Mental and behavioural disorders (F00-F98)","Men","15-19","2011",747
"Mental and behavioural disorders (F00-F98)","Men","15-19","2012",685
"Mental and behavioural disorders (F00-F98)","Men","15-19","2013",766
"Mental and behavioural disorders (F00-F98)","Men","15-19","2014",721
"Mental and behavioural disorders (F00-F98)","Men","15-19","2015",637
"Mental and behavioural disorders (F00-F98)","Men","15-19","2016",685
"Mental and behavioural disorders (F00-F98)","Men","15-19","2017",873
"Mental and behavioural disorders (F00-F98)","Men","15-19","2018",661
"Mental and behavioural disorders (F00-F98)","Men","15-19","2019",698
"Mental and behavioural disorders (F00-F98)","Men","15-19","2020",632
"Mental and behavioural disorders (F00-F98)","Men","15-19","2021",776
"Mental and behavioural disorders (F00-F98)","Men","15-19","2022",1071
"Mental and behavioural disorders (F00-F98)","Men","15-19","2023",977
"Mental and behavioural disorders (F00-F98)","Men","15-19","2024",1266
"Mental and behavioural disorders (F00-F98)","Men","20-24","1998",766
"Mental and behavioural disorders (F00-F98)","Men","20-24","1999",892
"Mental and behavioural disorders (F00-F98)","Men","20-24","2000",1281
"Mental and behavioural disorders (F00-F98)","Men","20-24","2001",1098
"Mental and behavioural disorders (F00-F98)","Men","20-24","2002",960
"Mental and behavioural disorders (F00-F98)","Men","20-24","2003",1505
"Mental and behavioural disorders (F00-F98)","Men","20-24","2004",1204
